TStates,Addr,WStates,OpType
1218,0x4DEC, ,WN
1219,0x4DEC, ,WN
1220,0x4DEC, ,WN
1221,0x4DEC, ,WN
1222,0x4DEC, ,WN
1223,0x4DEC, ,WN
1232,0x6DED, ,R
1235,0x4DED, ,W
1238,0x4DED, ,WN
1239,0x4DED, ,WN
1240,0x4DED, ,WN
1241,0x4DED, ,WN
1242,0x4DED, ,WN
1243,0x4DED, ,WN
1244,0x4DED, ,WN
1253,0x6DEE, ,R
1256,0x4DEE, ,W
1259,0x4DEE, ,WN
1260,0x4DEE, ,WN
1261,0x4DEE, ,WN
1262,0x4DEE, ,WN
1263,0x4DEE, ,WN
1264,0x4DEE, ,WN
1265,0x4DEE, ,WN
1274,0x6DEF, ,R
1277,0x4DEF, ,W
1280,0x4DEF, ,WN
1281,0x4DEF, ,WN
1282,0x4DEF, ,WN
1283,0x4DEF, ,WN
1284,0x4DEF, ,WN
1285,0x4DEF, ,WN
1286,0x4DEF, ,WN
1295,0x6DF0, ,R
1298,0x4DF0, ,W
1301,0x4DF0, ,WN
1302,0x4DF0, ,WN
1303,0x4DF0, ,WN
1304,0x4DF0, ,WN
1305,0x4DF0, ,WN
1306,0x4DF0, ,WN
1307,0x4DF0, ,WN
1316,0x6DF1, ,R
1319,0x4DF1, ,W
1322,0x4DF1, ,WN
1323,0x4DF1, ,WN
1324,0x4DF1, ,WN
1325,0x4DF1, ,WN
1326,0x4DF1, ,WN
1327,0x4DF1, ,WN
1328,0x4DF1, ,WN
1337,0x6DF2, ,R
1340,0x4DF2, ,W
1343,0x4DF2, ,WN
1344,0x4DF2, ,WN
1345,0x4DF2, ,WN
1346,0x4DF2, ,WN
1347,0x4DF2, ,WN
1348,0x4DF2, ,WN
1349,0x4DF2, ,WN
1358,0x6DF3, ,R
1361,0x4DF3, ,W
1364,0x4DF3, ,WN
1365,0x4DF3, ,WN
1366,0x4DF3, ,WN
1367,0x4DF3, ,WN
1368,0x4DF3, ,WN
1369,0x4DF3, ,WN
1370,0x4DF3, ,WN
1379,0x6DF4, ,R
1382,0x4DF4, ,W
1385,0x4DF4, ,WN
1386,0x4DF4, ,WN
1387,0x4DF4, ,WN
1388,0x4DF4, ,WN
1389,0x4DF4, ,WN
1390,0x4DF4, ,WN
1391,0x4DF4, ,WN
1400,0x6DF5, ,R
1403,0x4DF5, ,W
1406,0x4DF5, ,WN
1407,0x4DF5, ,WN
1408,0x4DF5, ,WN
1409,0x4DF5, ,WN
1410,0x4DF5, ,WN
1411,0x4DF5, ,WN
1412,0x4DF5, ,WN
1421,0x6DF6, ,R
1424,0x4DF6, ,W
1427,0x4DF6, ,WN
1428,0x4DF6, ,WN
1429,0x4DF6, ,WN
1430,0x4DF6, ,WN
1431,0x4DF6, ,WN
1432,0x4DF6, ,WN
1433,0x4DF6, ,WN
1442,0x6DF7, ,R
1445,0x4DF7, ,W
1448,0x4DF7, ,WN
1449,0x4DF7, ,WN
1450,0x4DF7, ,WN
1451,0x4DF7, ,WN
1452,0x4DF7, ,WN
1453,0x4DF7, ,WN
1454,0x4DF7, ,WN
1463,0x6DF8, ,R
1466,0x4DF8, ,W
1469,0x4DF8, ,WN
1470,0x4DF8, ,WN
1471,0x4DF8, ,WN
1472,0x4DF8, ,WN
1473,0x4DF8, ,WN
1474,0x4DF8, ,WN
1475,0x4DF8, ,WN
1484,0x6DF9, ,R
1487,0x4DF9, ,W
1490,0x4DF9, ,WN
1491,0x4DF9, ,WN
1492,0x4DF9, ,WN
1493,0x4DF9, ,WN
1494,0x4DF9, ,WN
1495,0x4DF9, ,WN
1496,0x4DF9, ,WN
1505,0x6DFA, ,R
1508,0x4DFA, ,W
1511,0x4DFA, ,WN
1512,0x4DFA, ,WN
1513,0x4DFA, ,WN
1514,0x4DFA, ,WN
1515,0x4DFA, ,WN
1516,0x4DFA, ,WN
1517,0x4DFA, ,WN
1526,0x6DFB, ,R
1529,0x4DFB, ,W
1532,0x4DFB, ,WN
1533,0x4DFB, ,WN
1534,0x4DFB, ,WN
1535,0x4DFB, ,WN
1536,0x4DFB, ,WN
1537,0x4DFB, ,WN
1538,0x4DFB, ,WN
1547,0x6DFC, ,R
1550,0x4DFC, ,W
1553,0x4DFC, ,WN
1554,0x4DFC, ,WN
1555,0x4DFC, ,WN
1556,0x4DFC, ,WN
1557,0x4DFC, ,WN
1558,0x4DFC, ,WN
1559,0x4DFC, ,WN
1568,0x6DFD, ,R
1571,0x4DFD, ,W
1574,0x4DFD, ,WN
1575,0x4DFD, ,WN
1576,0x4DFD, ,WN
1577,0x4DFD, ,WN
1578,0x4DFD, ,WN
1579,0x4DFD, ,WN
1580,0x4DFD, ,WN
1589,0x6DFE, ,R
1592,0x4DFE, ,W
1595,0x4DFE, ,WN
1596,0x4DFE, ,WN
1597,0x4DFE, ,WN
1598,0x4DFE, ,WN
1599,0x4DFE, ,WN
1600,0x4DFE, ,WN
1601,0x4DFE, ,WN
1610,0x6DFF, ,R
1613,0x4DFF, ,W
1616,0x4DFF, ,WN
1617,0x4DFF, ,WN
1618,0x4DFF, ,WN
1619,0x4DFF, ,WN
1620,0x4DFF, ,WN
1621,0x4DFF, ,WN
1622,0x4DFF, ,WN
1631,0x6E00, ,R
1634,0x4E00, ,W
1637,0x4E00, ,WN
1638,0x4E00, ,WN
1639,0x4E00, ,WN
1640,0x4E00, ,WN
1641,0x4E00, ,WN
1642,0x4E00, ,WN
1643,0x4E00, ,WN
1652,0x6E01, ,R
1655,0x4E01, ,W
1658,0x4E01, ,WN
1659,0x4E01, ,WN
1660,0x4E01, ,WN
1661,0x4E01, ,WN
1662,0x4E01, ,WN
1663,0x4E01, ,WN
