TStates,Addr,WStates,OpType,IStates
909,0x87AB, ,RR,4
913,0x87AC, ,RR,4
923,0x4DDE, ,WN,1
924,0x4DDE, ,WN,1
925,0x4DDE, ,WN,1
926,0x4DDE, ,WN,1
927,0x4DDE, ,WN,1
928,0x4DDE, ,WN,1
929,0x4DDE, ,WN,1
930,0x87AB, ,RR,4
934,0x87AC, ,RR,4
944,0x4DDF, ,WN,1
945,0x4DDF, ,WN,1
946,0x4DDF, ,WN,1
947,0x4DDF, ,WN,1
948,0x4DDF, ,WN,1
949,0x4DDF, ,WN,1
950,0x4DDF, ,WN,1
951,0x87AB, ,RR,4
955,0x87AC, ,RR,4
965,0x4DE0, ,WN,1
966,0x4DE0, ,WN,1
967,0x4DE0, ,WN,1
968,0x4DE0, ,WN,1
969,0x4DE0, ,WN,1
970,0x4DE0, ,WN,1
971,0x4DE0, ,WN,1
972,0x87AB, ,RR,4
976,0x87AC, ,RR,4
986,0x4DE1, ,WN,1
987,0x4DE1, ,WN,1
988,0x4DE1, ,WN,1
989,0x4DE1, ,WN,1
990,0x4DE1, ,WN,1
991,0x4DE1, ,WN,1
992,0x4DE1, ,WN,1
993,0x87AB, ,RR,4
997,0x87AC, ,RR,4
1007,0x4DE2, ,WN,1
1008,0x4DE2, ,WN,1
1009,0x4DE2, ,WN,1
1010,0x4DE2, ,WN,1
1011,0x4DE2, ,WN,1
1012,0x4DE2, ,WN,1
1013,0x4DE2, ,WN,1
1014,0x87AB, ,RR,4
1018,0x87AC, ,RR,4
1028,0x4DE3, ,WN,1
1029,0x4DE3, ,WN,1
1030,0x4DE3, ,WN,1
1031,0x4DE3, ,WN,1
1032,0x4DE3, ,WN,1
1033,0x4DE3, ,WN,1
1034,0x4DE3, ,WN,1
1035,0x87AB, ,RR,4
1039,0x87AC, ,RR,4
1049,0x4DE4, ,WN,1
1050,0x4DE4, ,WN,1
1051,0x4DE4, ,WN,1
1052,0x4DE4, ,WN,1
1053,0x4DE4, ,WN,1
1054,0x4DE4, ,WN,1
1055,0x4DE4, ,WN,1
1056,0x87AB, ,RR,4
1060,0x87AC, ,RR,4
1070,0x4DE5, ,WN,1
1071,0x4DE5, ,WN,1
1072,0x4DE5, ,WN,1
1073,0x4DE5, ,WN,1
1074,0x4DE5, ,WN,1
1075,0x4DE5, ,WN,1
1076,0x4DE5, ,WN,1
1077,0x87AB, ,RR,4
1081,0x87AC, ,RR,4
1091,0x4DE6, ,WN,1
1092,0x4DE6, ,WN,1
1093,0x4DE6, ,WN,1
1094,0x4DE6, ,WN,1
1095,0x4DE6, ,WN,1
1096,0x4DE6, ,WN,1
1097,0x4DE6, ,WN,1
1098,0x87AB, ,RR,4
1102,0x87AC, ,RR,4
1112,0x4DE7, ,WN,1
1113,0x4DE7, ,WN,1
1114,0x4DE7, ,WN,1
